# beta_th 	 E_final 	 E_thermal 	 beta_final 	 sx_final 
0.01	-1.0398901278950248	-1.039899912002446	0.00949774	-0.010446505702739566
0.1	-10.298019151991475	-10.298125234842622	0.09497179999999998	-0.10347368327089312
0.3	-28.707019515870158	-28.707188742092693	0.2847684	-0.28892487910693315
0.5	-42.26243239919758	-42.26275618033985	0.47408199999999995	-0.4266489244307208
1	-58.30652619946741	-58.30673862892167	0.9415979999999999	-0.5948409974626231
2	-64.6621330397348	-64.66216685068132	1.8028919999999997	-0.6721810872768641
4	-66.1056731382609	-66.10568222189664	3.03128	-0.6997436977961746
8	-66.45882525274705	-66.45884468831235	4.133248	-0.7110302475590005
