# L= 80  beta= [0.01]  t_max= 2.0  steps= 500
t 	  D= [100]
1.808	6434039013696538e-44
1.816	5924898400553871e-44
1.824	5358420366091472e-44
1.832	4206048592851759e-44
1.84	39157879449527994e-45
1.848	2974446409048528e-44
1.856	3116185462797355e-44
1.864	25220983686830208e-45
1.872	1805149378887548e-44
1.88	11581234255160821e-45
1.888	9168477501436687e-45
1.896	16255959909818406e-45
1.904	14569305512903698e-45
1.912	16166874233426672e-45
1.92	1578299349938491e-44
1.928	126768534931325e-43
1.936	15311138585012824e-45
1.944	20507765061427073e-45
1.952	23062005429343476e-45
1.96	23080992856832803e-45
1.968	23858745134594958e-45
1.976	2034635716246347e-44
1.984	18690146864282592e-45
1.992	20323590938662125e-45
2	2053277128655113e-44
