L= 50  beta= 1.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
3.65	-61.397042181143334	-0.6174329606039467	11452210707529886e-29	-0.004307624960923599	3986133455041963e-29
3.7	-61.39702529129879	-0.6173606657895183	11111857961543237e-29	-0.004303946628626937	6571305668453244e-29
3.75	-61.397003299922034	-0.6173523924840844	10294998360749208e-29	-0.004300446442833483	11077518368875305e-29
3.8	-61.396978134631375	-0.6174063913951755	10589879667621815e-29	-0.004297126791147321	1899622985115341e-28
3.85	-61.396951941955926	-0.6175114060636759	10670132312429192e-29	-0.004293998405041787	3249487829322462e-28
3.9	-61.39692691184935	-0.6176488284346466	10480895665243573e-29	-0.00429107662041021	5423082778019014e-28
3.95	-61.3969051026329	-0.6177958823048386	11290209218917102e-29	-0.0042883757871643585	8791379718142072e-28
4	-61.396888279824196	-0.6179293045187846	11779834920011556e-29	-0.004285902994127011	13732122005262662e-28
4.05	-61.39687778091228	-0.6180289412665994	11513793390927063e-29	-0.0042836521516389225	20497471747364677e-28
4.1	-61.396874415949156	-0.6180807146416444	10795921448480961e-29	-0.00428159882129612	30186615160556266e-28
4.15	-61.396878410930064	-0.6180785332909289	9674899770217849e-29	-0.004279698418518487	4447750274599866e-27
4.2	-61.39688939757758	-0.6180248992999253	11562192175906816e-29	-0.0042778871948656524	6561829168456126e-27
4.25	-61.396906449584385	-0.6179301720554953	12433695566194114e-29	-0.004276085694501822	9540322634591447e-27
4.3	-61.39692816189091	-0.6178106559809244	11367469465728419e-29	-0.004274205079756517	1355735377825037e-26
4.35	-61.39695276636391	-0.617685851650303	11197314776778544e-29	-0.0042721550489569805	18986598069856205e-27
4.4	-61.39697827454917	-0.6175753240368705	11724041876215452e-29	-0.004269852335038311	26575341698937027e-27
4.45	-61.39700263619908	-0.6174956824528683	12639238614053916e-29	-0.004267228984961662	3726095487992586e-26
4.5	-61.39702390120324	-0.6174581307005993	12933816344318227e-29	-0.004264239170988065	5214827259681746e-26
4.55	-61.397040372403644	-0.6174669414568361	1274071993739856e-28	-0.004260863538128803	7264095230471862e-26
4.6	-61.397050737553585	-0.6175190543671136	13443152840908468e-29	-0.004257110612629933	10064213370667537e-26
4.65	-61.397054170367134	-0.6176048180623189	1316243121440852e-28	-0.0042530151409802585	13903958840322027e-26
4.7	-61.39705039301903	-0.6177097205027574	1244824555934887e-28	-0.00424863360864137	19232471237315414e-26
4.75	-61.397039695474646	-0.6178168063320736	1298527257942439e-28	-0.004244037546452428	2669449458552677e-25
4.8	-61.39702291038609	-0.6179093854044257	12297584825460284e-29	-0.0042393055470945126	37174203285320024e-26
4.85	-61.39700134578149	-0.6179736059556902	11299403253339779e-29	-0.0042345151532818485	5186477314897173e-25
4.9	-61.39697668101936	-0.6180005014814449	11687677735350288e-29	-0.004229735852813122	7232523397052375e-25
4.95	-61.39695083433854	-0.6179872145400077	10864963442824838e-29	-0.004225024161868568	10049758166046901e-25
5	-61.396925812445225	-0.6179372370451043	10951699616623678e-29	-0.00422042099609857	13858526310876028e-25

L= 50  beta= 0.5  t_max= 5.0  steps= 1010  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
0.04950495049504951	-40.263158330081296	-0.40584200256727265	-6457677361617275e-29	-7824449307829737e-25	324486976168214e-34
0.09900990099009901	-40.30964538002595	-0.4058617671333081	-6593872714164825e-29	-7820822698777123e-25	16499949442898743e-35
0.1485148514851485	-40.39996004324283	-0.40591629934484696	-6417736319016421e-29	-7816654517853006e-25	15594473593592664e-35
0.19801980198019803	-40.556426703663035	-0.4060408831656458	-5798427148535296e-29	-7811311661618597e-25	36452513292282505e-35
0.24752475247524752	-40.796785002415746	-0.4062932065136125	-5098423723934347e-29	-7803672782876801e-25	31442261303334933e-35
0.297029702970297	-41.121239262748844	-0.40675552577006957	-4272576204843384e-29	-7792009242270324e-25	9697654842641858e-35
0.3465346534653465	-41.500071590604904	-0.40752719258894	-3330635046782506e-29	-7774020344013962e-25	11095832869258032e-35
0.39603960396039606	-41.87074081283793	-0.4087034022173298	-2405594138435885e-29	-7747163186624742e-25	1752000716242216e-34
0.44554455445544555	-42.15139910086322	-0.4103416095700937	-16879077864506363e-30	-7709337779730777e-25	3190063100144865e-34
0.49504950495049505	-42.26896109641146	-0.41242525997542956	-9839788225368094e-30	-7659772181937975e-25	1492401000858913e-34
0.5445544554455446	-42.18918900394867	-0.41484027500384413	-3638186277706891e-30	-7599685681665238e-25	339852420843301e-33
0.594059405940594	-41.932179639457274	-0.4173777307711605	16583104019166076e-31	-7532309217251397e-25	2871507593222973e-34
0.6435643564356436	-41.563846314677534	-0.4197657510943995	10832961522082643e-30	-7462159632393333e-25	21396008067800192e-35
0.693069306930693	-41.168247758875296	-0.4217208290238742	16833820423572195e-30	-7393950205431976e-25	9027037207459816e-35
0.7425742574257426	-40.816512056678235	-0.4230015857211661	1950700571796037e-29	-7331659580865303e-25	39602710281541067e-35
0.7920792079207921	-40.54786885604293	-0.423449660977747	25731629006952816e-30	-7278048965767341e-25	19210939488419538e-35
0.8415841584158416	-40.36844159944085	-0.4230099545383008	24993984172097054e-30	-7234589565668717e-25	17843378093202148e-35
0.8910891089108911	-40.26257941723552	-0.42173037936512753	20332518960322197e-30	-7201615803688578e-25	36969133974306104e-35
0.9405940594059405	-40.20705344769106	-0.4197461452561879	19385910843124158e-30	-7178551597876677e-25	3763325802730804e-34
0.9900990099009901	-40.18105163352983	-0.4172549206078384	1858872387945693e-29	-7164153462788352e-25	27640833141539443e-35
1.0396039603960396	-40.170151066684554	-0.4144883644182389	15284864841068446e-30	-7156739980206762e-25	31706863296714177e-35
1.0891089108910892	-40.16605612402708	-0.4116840078037071	14166629281498765e-30	-7154407904021805e-25	36872156620812935e-35
1.1386138613861385	-40.164680905866504	-0.4090601815867936	127618905070975e-28	-7155224985163269e-25	33756129428296603e-35
1.188118811881188	-40.164272056883775	-0.4067958350760942	12272168537482586e-30	-7157403053369961e-25	35791864917684137e-35
1.2376237623762376	-40.16416681779924	-0.40501650291068847	9936598204608431e-30	-7159414038589673e-25	2529827992425902e-34
1.2871287128712872	-40.16414284971343	-0.4037871324772976	10226336885275915e-30	-7160087692782342e-25	31140993716283385e-35
1.3366336633663367	-40.16413371602774	-0.4031118753635345	9497628627534491e-30	-7158650803088331e-25	3393787099285946e-34
1.386138613861386	-40.164121988762915	-0.4029402886840436	8928353336127958e-30	-7154729165835091e-25	3473306082615778e-34
1.4356435643564356	-40.16410421617706	-0.40317877063223095	6985903811238115e-30	-7148310404405218e-25	39388139832447935e-35
1.4851485148514851	-40.16408077443738	-0.40370556423024473	5244404683693529e-30	-7139676286374059e-25	3861887202303805e-34
1.5346534653465347	-40.1640531999368	-0.4043873751421895	6373827451800382e-30	-7129315519827249e-25	38089196060952e-32
1.5841584158415842	-40.16402348194903	-0.4050955988051061	2526786973712953e-30	-7117830398022369e-25	328983380578714e-33
1.6336633663366336	-40.163993797686786	-0.40572033790681417	3206756873830183e-30	-7105845048313428e-25	32078699148923758e-35
1.683168316831683	-40.163966330106696	-0.40618078057138396	5529508671905867e-30	-7093928699730287e-25	33585836636333225e-35
1.7326732673267327	-40.16394310139598	-0.40643104511898276	4896191154391383e-30	-708254132396073e-24	37672140793276105e-35
1.7821782178217822	-40.16392581992581	-0.4064612059300905	67026455190364815e-31	-7071997589447422e-25	40042917030831337e-35
1.8316831683168318	-40.16391575048332	-0.4062938181724649	6130263916689218e-30	-7062461666134963e-25	42450492109908507e-35
1.881188118811881	-40.16391361811063	-0.4059767829452796	7571190180101551e-30	-7053959633052477e-25	3342377436464196e-34
1.9306930693069306	-40.16391955356505	-0.4055737784908413	54790146384241776e-31	-7046409456102125e-25	35556834954127096e-35
1.9801980198019802	-40.16393308509115	-0.40515368797524454	7172501785263858e-30	-7039661139005009e-25	38440018178739616e-35
2.0297029702970297	-40.16395317736102	-0.40478046517023797	8676056723102745e-30	-7033537588704225e-25	38989991556434026e-35
2.0792079207920793	-40.163978314510345	-0.4045047068679315	11123349138865372e-30	-7027875042511894e-25	3754713614595794e-34
2.128712871287129	-40.164006620519714	-0.4043578785548388	9205942315062972e-30	-7022552518538034e-25	40379369968680453e-35
