
# L= 80  beta= [2.0]  t_max= 30.0  steps= 2000,D= [60] #
t 	 E 	 mag
1.11	-76.86021497456689	-0.10551507293683529
1.125	-76.86021503779429	-0.10594720268875724
1.14	-76.86021504565244	-0.1063987401460412
1.155	-76.86021501119771	-0.10686803181034932
1.17	-76.86021494439531	-0.10735335921449263
1.185	-76.86021485264125	-0.10785294553632871
1.2	-76.86021474125829	-0.1083649623473101
1.215	-76.86021461395201	-0.10888753648969272
1.23	-76.86021447319378	-0.1094187570717548
1.245	-76.86021432054	-0.10995668256658712
1.26	-76.86021415688005	-0.11049934799685666
1.275	-76.86021398263593	-0.11104477218548367
1.29	-76.86021379790255	-0.11159096505020809
1.305	-76.86021360256233	-0.11213593491861197
1.32	-76.86021339635697	-0.11267769583907374
1.335	-76.86021317894914	-0.11321427486249275
1.35	-76.86021294995639	-0.11374371926914079
1.365	-76.86021270898291	-0.11426410371491126
1.38	-76.86021245563443	-0.11477353727120582
1.395	-76.86021218953286	-0.11527017033297142
1.41	-76.86021191032351	-0.11575220136973868
1.425	-76.86021161768194	-0.11621788349503753
1.44	-76.86021131131805	-0.11666553083018091
1.455	-76.86021099097783	-0.11709352463915357
1.47	-76.86021065644404	-0.11750031921216708
1.485	-76.86021030754041	-0.1178844474763883
1.5	-76.86020994413077	-0.11824452631334173
1.515	-76.86020956611854	-0.11857926156359014
1.53	-76.86020917344868	-0.11888745270047006
1.545	-76.86020876610688	-0.11916799715587702
1.56	-76.86020834411883	-0.11941989428241379
1.575	-76.86020790755074	-0.1196422489375633
1.59	-76.8602074565091	-0.11983427467694938
1.605	-76.86020699113827	-0.11999529654521895
1.62	-76.86020651162252	-0.12012475345458115
1.635	-76.86020601818149	-0.12022220014254173
1.65	-76.86020551107251	-0.12028730870199002
1.665	-76.86020499058733	-0.12031986967832392
1.68	-76.86020445705127	-0.12031979272996125
1.695	-76.86020391082222	-0.12028710685016414
1.71	-76.86020335228986	-0.1202219601497504
1.725	-76.86020278186965	-0.12012461920188888
1.74	-76.86020220000763	-0.11999546795180327
1.755	-76.86020160717527	-0.11983500619579196
1.77	-76.86020100386722	-0.1196438476355906
1.785	-76.86020039059784	-0.1194227175156618
1.8	-76.8601997679049	-0.11917244985253381
1.815	-76.86019913634074	-0.11889398426680405
1.83	-76.86019849647548	-0.11858836242989174
1.845	-76.86019784889193	-0.11825672413905393
1.86	-76.86019719418351	-0.11790030303550561
1.875	-76.8601965329539	-0.11752042198183354
1.89	-76.86019586581313	-0.11711848811610327
1.905	-76.86019519337748	-0.11669598760127196
1.92	-76.86019451626416	-0.11625448008958761
1.935	-76.86019383509013	-0.11579559292273615
1.95	-76.86019315047398	-0.11532101508943096
1.965	-76.8601924630282	-0.11483249096298964
1.98	-76.86019177336047	-0.11433181384229667
1.995	-76.86019108207032	-0.11382081932018824
2.01	-76.86019038974814	-0.11330137850394997
2.025	-76.86018969697315	-0.11277539111312126
2.04	-76.86018900430976	-0.11224477848021935
2.055	-76.86018831230992	-0.11171147648035831
2.07	-76.86018762150833	-0.1111774284159164
2.085	-76.86018693242092	-0.1106445778826016
2.1	-76.86018624554322	-0.11011486164326173
2.115	-76.86018556135362	-0.10959020253573766
2.13	-76.86018488030494	-0.10907250244089656
2.145	-76.86018420282791	-0.10856363533673893
2.16	-76.86018352933074	-0.10806544046411479
2.175	-76.86018286019473	-0.1075797156291178
2.19	-76.86018219577689	-0.10710821066673443
2.205	-76.8601815364065	-0.10665262108965048
2.22	-76.86018088238755	-0.10621458194542693
2.235	-76.86018023399616	-0.10579566190444761
2.25	-76.86017959148002	-0.10539735760015026
2.265	-76.86017895506006	-0.10502108824210188
2.28	-76.86017832493063	-0.10466819052143347
2.295	-76.86017770125521	-0.10433991382702545
2.31	-76.86017708417312	-0.10403741578970277
2.325	-76.86017647379579	-0.10376175817039168
2.34	-76.86017587020604	-0.10351390310695863
2.355	-76.86017527346371	-0.1032947097330687
2.37	-76.86017468360002	-0.10310493118099806
2.385	-76.8601741006242	-0.10294521197891876
2.4	-76.86017352451876	-0.10281608585167273
2.415	-76.86017295524726	-0.10271797393257166
2.43	-76.86017239274672	-0.10265118339218149
2.445	-76.86017183693693	-0.10261590648856025
2.46	-76.86017128771506	-0.10261222004177384
2.475	-76.86017074496411	-0.10264008533401196
2.49	-76.86017020854455	-0.10269934843497242
2.505	-76.86016967830642	-0.10278974095069598
2.52	-76.8601691540822	-0.10291088119236215
2.535	-76.86016863569174	-0.10306227576010613
2.55	-76.86016812294562	-0.10324332153531995
2.565	-76.86016761564281	-0.10345330807341405
2.58	-76.86016711357391	-0.10369142038756708
2.595	-76.86016661652393	-0.10395674211253053
2.61	-76.86016612427332	-0.1042482590361706
2.625	-76.86016563659787	-0.10456486298509232
2.64	-76.86016515327066	-0.10490535604941006
2.655	-76.86016467406601	-0.10526845513047225
2.67	-76.86016419875847	-0.10565279679419992
2.685	-76.86016372712712	-0.10605694241158942
2.7	-76.86016325895218	-0.10647938356688386
2.715	-76.86016279402111	-0.10691854771299689
2.73	-76.86016233212811	-0.10737280405283744
2.745	-76.86016187307585	-0.1078404696244321
2.76	-76.86016141667622	-0.1083198155669989
2.775	-76.86016096275213	-0.1088090735445113
2.79	-76.86016051113856	-0.10930644230273087
2.805	-76.86016006168182	-0.10981009433525829
2.82	-76.86015961424582	-0.11031818263378623
2.835	-76.86015916870409	-0.11082884749744122
2.85	-76.86015872495163	-0.11134022337600363
2.865	-76.86015828289483	-0.111850445721605
2.88	-76.86015784246112	-0.11235765782364635
2.895	-76.86015740359275	-0.11286001760167591
2.91	-76.8601569662519	-0.11335570433124784
2.925	-76.86015653041738	-0.11384292527804094
