# L= 10  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [20, 40, 80]
0.01	-10.774401691280534	-10.774401691280678	-10.774401691280678
0.1	-10.774462106162428	-10.774462106162574	-10.774462106162572
0.2	-10.774653142893579	-10.774653142893724	-10.77465314289372
0.3	-10.775237422530372	-10.775237422530516	-10.775237422530523
0.4	-10.776849174116167	-10.776849174116304	-10.776849174116318
0.5	-10.780891243415873	-10.780891243416022	-10.78089124341602
0.6	-10.790249445517833	-10.790249445517981	-10.790249445517988
0.7	-10.810430674758697	-10.810430674758836	-10.810430674758834
0.8	-10.851106648604668	-10.851106648604832	-10.851106648604825
0.9	-10.927817919365477	-10.927817919365637	-10.92781791936564
1	-11.063184014535985	-11.063184014536315	-11.06318401453631
1.1	-11.286590866645426	-11.2865908666469	-11.286590866646891
1.2	-11.631197082763665	-11.631197082752827	-11.631197082752825
1.3	-12.127435715663577	-12.127435715392473	-12.127435715392448
1.4	-12.792961583402578	-12.792961580646887	-12.792961580646857
1.5	-13.619950168947971	-13.619950149368679	-13.619950149368277
1.6	-14.562005402132597	-14.562005292927108	-14.56200529292346
1.7	-15.525770851195368	-15.525770357068883	-15.525770357040095
1.8	-16.376341542614014	-16.37633974263733	-16.376339742443506
1.9	-16.9650659832721	-16.965060945568133	-16.965060944492343
2	-17.175614092985466	-17.175604630925378	-17.175604626487914
2.1	-16.96562371934884	-16.965618838474708	-16.965618830564157
2.2	-16.379314703380306	-16.379355367059638	-16.379355398581314
2.3	-15.52742305089003	-15.527606846106236	-15.527607199771008
2.4	-14.550504849418877	-14.550989071682283	-14.550990857535313
2.5	-13.58271241802719	-13.583685974090422	-13.583692219966645
2.6	-12.725469588489485	-12.727116547461923	-12.727132894719253
2.7	-12.035093346001254	-12.037570000560217	-12.037603067631494
2.8	-11.52455682283298	-11.527972245697066	-11.528026509172983
2.9	-11.175413984487761	-11.179798925022984	-11.179874608729993
3	-10.953320325410031	-10.958597884798264	-10.958691166964798
3.1	-10.821270761570354	-10.827255111644718	-10.82735964105634
3.2	-10.747630248577233	-10.754059907561269	-10.75416848923251
3.3	-10.709055819164085	-10.71566415908273	-10.715770390981938
3.4	-10.690113798984777	-10.696689526087203	-10.696788542616197
3.5	-10.681468764354799	-10.687881925052148	-10.687970445489205
3.6	-10.677892959407254	-10.684086245478147	-10.6841620408701
3.7	-10.676670021699456	-10.682624381289097	-10.682685208754489
3.8	-10.67647825550216	-10.682183969755757	-10.682227615322825
3.9	-10.676705831221431	-10.682150823667817	-10.682175379091225
4	-10.677085274580223	-10.682248984341658	-10.68224837070328
4.1	-10.677518355659252	-10.682357934010911	-10.682318827567736
4.2	-10.677986129010293	-10.682430967321682	-10.682335899976723
4.3	-10.678496657592074	-10.68246423676312	-10.682289843019213
4.4	-10.679063487338622	-10.682480077641635	-10.682196920687337
4.5	-10.67969117102602	-10.68251431787782	-10.682087934366718
4.6	-10.680367139857987	-10.682605021869074	-10.681997103962848
4.7	-10.681065595111704	-10.682784932808046	-10.681954051407677
4.8	-10.68175570387526	-10.683072821212905	-10.681974927797063
4.9	-10.682411116092803	-10.68346695930706	-10.682058093238386
5	-10.68301482949601	-10.68393994285578	-10.682184721038322
5.1	-10.683557991934482	-10.684440002835077	-10.682325798555517
5.2	-10.68403547636636	-10.684907786358952	-10.682452092307729
5.3	-10.684442083797748	-10.685297705199838	-10.682543985454503
5.4	-10.684772119724547	-10.685587354599269	-10.682598307316026
5.5	-10.685025365226734	-10.685785478224684	-10.682627532289114
5.6	-10.685219156553163	-10.685929920270683	-10.682654586190203
5.7	-10.685396944009634	-10.686072305571974	-10.68270564517196
5.8	-10.685622886975581	-10.686265051010858	-10.682801651104764
5.9	-10.685963795173192	-10.686548612939077	-10.682950803457047
6	-10.686468391329639	-10.68693877070476	-10.68314463712697
6.1	-10.687152423656697	-10.687422276892155	-10.683363661622385
6.2	-10.687993427951747	-10.68796970334544	-10.6835875406179
6.3	-10.688937750916951	-10.688547004095597	-10.68379976433876
6.4	-10.689915457674486	-10.68911459686931	-10.68398873771846
6.5	-10.690848279832586	-10.689636290798948	-10.684147591501604
6.6	-10.691649841374291	-10.690086401973401	-10.684274358226705
6.7	-10.692246259613787	-10.690452253928024	-10.684372499938329
6.8	-10.69261626693448	-10.690736478386084	-10.684450288602891
6.9	-10.692807407980293	-10.690955596170392	-10.68451910426936
7	-10.692916127460718	-10.69113474165569	-10.684590824690737
7.1	-10.693060321485358	-10.691303818299831	-10.684673298300904
7.2	-10.693356909738952	-10.691493507894249	-10.684767424172257
7.3	-10.693894242875206	-10.691726418604635	-10.684870344693225
7.4	-10.694696210607914	-10.692010626142142	-10.684978622623932
7.5	-10.695694874674745	-10.69234030161124	-10.685089027273145
7.6	-10.696757077523623	-10.692697417259643	-10.685198560407612
7.7	-10.697745314007618	-10.693056521133805	-10.685304988891941
7.8	-10.698558286184971	-10.693393552611345	-10.685407671075358
7.9	-10.69915482323392	-10.693690242173258	-10.685507171885652
8	-10.699559059205958	-10.693936251735048	-10.685603563021655
8.1	-10.69984303445415	-10.694131712312537	-10.685695025018783
8.2	-10.700096023091039	-10.694286818636712	-10.68577844858448
8.3	-10.700390728276831	-10.6944167833933	-10.68585029253509
8.4	-10.700760015750047	-10.694535344830875	-10.685906286008002
8.5	-10.701200306358608	-10.694651746948908	-10.685941793749882
8.6	-10.701692720747635	-10.694773134450879	-10.685953601885494
8.7	-10.70221726157008	-10.694908055392803	-10.685942153602356
8.8	-10.702757805825806	-10.69506793772209	-10.685912933003921
