# beta_th 	 E_final 	 E_thermal 	 beta_final 	 sx_final 
0.01	-0.9884630582133644	-0.9884666065085377	0.0099855	-0.009984504472221652
0.1	-9.788641851936156	-9.789012412166795	0.09985500000000001	-0.09887233436411727
0.3	-27.28506422318734	-27.285892785288212	0.299475	-0.27546724068386763
0.5	-40.16406567390572	-40.16513343578342	0.4988	-0.40520510993943937
1	-55.39104075008368	-55.39126452939627	0.9935	-0.5579640240914328
2	-61.39694679921063	-61.39709628504525	1.9364	-0.6177844714481436
4	-62.73948198029537	-62.73951552490734	3.4724	-0.631084299725372
8	-63.051440780420776	-63.05144715581099	5.1932	-0.6341728487321094
