# beta_th 	 E_final 	 E_thermal 	 beta_final 	 sx_final 
0.01	-1.0398901278950248	-1.0399229014160376	0.009497949999999998	-0.01044673665662342
0.1	-10.298019151991475	-10.298203927238454	0.09497249999999999	-0.10347451071183002
0.3	-28.707019515870158	-28.707379031444887	0.2847705	-0.2889269101392759
0.5	-42.26243239919758	-42.26337515600879	0.4740924999999999	-0.4266553342914705
1	-58.30652619946741	-58.30686691123993	0.9416049999999999	-0.594842345844
2	-64.6621330397348	-64.6622411137059	1.8029199999999996	-0.6721821943873257
4	-66.1056731382609	-66.1056829410652	3.0312799999999998	-0.6997437028001494
8	-66.45882525274705	-66.45886731061572	4.13336	-0.7110311366242564
