L= 50  beta= 0.01  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
24	0.003880328997504006
25	0.003880321828266923
26	0.0038803250218915203
27	0.0038803236725563324
28	0.0038803240780739016
29	0.003880324345730642
30	0.0038803232262943146
31	0.0038803259445734793
32	0.0038803198134621042
33	0.0038803334490788537
34	0.003880303209435239
35	0.0038803702339839387
36	0.0038802216966503677
37	0.0038805508754312735
38	0.003879821382375561
39	0.0038814380281156783
40	0.00387785538383569
41	0.0038857949594672354
42	0.0038682000880457244
43	0.003907192463521385
44	0.003820781569351999
45	0.004012278621782548
46	0.0035879025420782495
47	0.004528371576069001
48	0.0024442128343679127
49	0.007068334630088671

L= 50  beta= 1.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	0.6725037235849332
2	0.49588710655572665
3	0.3509011901533449
4	0.26316486794910493
5	0.18214942604242004
6	0.14078402661832698
7	0.09340401236846665
8	0.07642468436334818
9	0.046733330586870486
10	0.04257848393969549
11	0.022189482438592936
12	0.024778943726095813
13	0.009281980846505774
14	0.01541821651505437
15	0.002493924881262064
16	0.010495357252845148
17	0.0010760240312385877
18	0.007906246358598969
19	0.002953726982982359
20	0.006544250747866019
21	0.00394174836539524
22	0.005827228725957638
23	0.004462386486500066
24	0.00544871204020647
25	0.004738171548117895
26	0.005246915775019019
27	0.004886979101306288
28	0.005135588536575139
29	0.004972412200665343
30	0.005067147038459636
31	0.005030986506628442
32	0.005012338139636151
33	0.0050877377428516024
34	0.0049477355199407935
35	0.005166922419816637
36	0.004845726844816095
37	0.005302385508543028
38	0.004662711751373719
39	0.00555202639663651
40	0.004320466260534488
41	0.006022546139178887
42	0.0036727084265642373
43	0.006915053428409185
44	0.002442574777525755
45	0.008611022128644544
46	0.00010428534746867793
47	0.011835413272673258
48	0.004337999761464532
49	0.018139446655730862

L= 50  beta= 2.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	0.8050353879433574
2	0.7483589889015261
3	0.6843790972734141
4	0.6413916175626655
5	0.5856292612486192
6	0.5499513945332173
7	0.5009428525893809
8	0.4715060992030013
9	0.428279791567434
10	0.40418664653860487
11	0.3659102228660375
12	0.3463904943540354
13	0.31234944367437023
14	0.29674181016141277
15	0.26632244423442714
16	0.2540587112908167
17	0.22673355577194182
18	0.21732513023412997
19	0.19264036819086855
20	0.18566662724350347
21	0.16323129608440273
22	0.1583295743701411
23	0.13780625901303212
24	0.13466321541475945
25	0.11576001614969142
26	0.11410417473208587
27	0.09656775857376973
28	0.0961630461219535
29	0.07977261623980213
30	0.08041274255671432
31	0.06497478222522951
32	0.06647832941119922
33	0.05182199536096575
34	0.05402809917618878
35	0.04000115468448007
36	0.042765675189613474
37	0.029230866098397864
38	0.03242295641573828
39	0.019254743807980722
