L= 50  beta= 0.01  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
40	24104328542207815e-22
41	-17463364942729362e-22
42	12679619010714897e-22
43	-9178224984170494e-22
44	6670542960097309e-22
45	-481989158418461e-21
46	35087115394915735e-23
47	-2525517334255045e-22
48	1842124128731762e-22
49	-12936322789369736e-23

L= 50  beta= 2.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.7716752974998996
2	0.7096840823336764
3	-0.6565487024637826
4	0.6080211809291781
5	-0.5627231745485477
6	0.5211724599129297
7	-0.4823208073794147
8	0.44672971512518217
9	-0.41340224665524955
10	0.3829192679017745
11	-0.35432676400388774
12	0.3282221087024626
13	-0.3036880719586196
14	0.2813361763082261
15	-0.2602807207924152
16	0.24114535511694554
17	-0.22307140223181468
18	0.206692906075442
19	-0.1911743516369391
20	0.17715869158670713
21	-0.1638302624525271
22	0.151839652206569
23	-0.140388210979517
24	0.13013307037301336
25	-0.1202901611921167
26	0.11152222276627702
27	-0.1030576807380178
28	0.09556407975449405
29	-0.08828055189726199
30	0.08187875911129483
31	-0.07560700638456899
32	0.07014048295195949
33	-0.06473535153546939
34	0.06006982261880892
35	-0.05540678853827419
36	0.051427046905942846
37	-0.04739925175054772
38	0.04400641527843206
39	-0.04052212244534876
40	0.03763128023549428
41	-0.03461169113862042
42	0.032149882129733284
43	-0.029527259431118648
44	0.027431726212887933
45	-0.025147682447247473
46	0.02336343521988529
47	-0.02135750423193232
48	0.01974112112461377
49	-0.016916829833305273

L= 50  beta= 4.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.804552673280741
2	0.7852699416340704
3	-0.7754708962318709
4	0.7693316400769594
5	-0.7614657063723395
6	0.7556974940794882
7	-0.7479669017410658
8	0.7422960632124511
9	-0.7346564080457545
10	0.7290744857465553
11	-0.7215231298785443
12	0.7160283659641088
13	-0.7085637062866033
14	0.7031545338922872
15	-0.6957750119259335
16	0.6904498891018178
17	-0.6831539673881836
18	0.6779113725302123
19	-0.6706975337500887
20	0.6655359651279835
21	-0.65840271172664
22	0.6533206871199165
23	-0.6462665409457765
24	0.6412625972866522
25	-0.6342860992358615
26	0.6293587922571209
27	-0.6224585019221167
28	0.6176064058092358
29	-0.6107809011319116
30	0.6060026081797988
31	-0.5992504851090191
32	0.5945446053830133
33	-0.5878644775365665
34	0.5832296385370583
35	-0.5766201368626874
36	0.5720549831731637
37	-0.5655147554923512
38	0.5610179478983354
39	-0.554545655264804
40	0.5501158559855158
41	-0.5437100858463512
42	0.5393455821554523
43	-0.5330025912800899
44	0.5286915085824722
45	-0.5223464580320407
46	0.5178122085647209
47	-0.5098151690752802
48	0.49778335100348176
49	-0.4424227614713826

L= 50  beta= 8.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.8177149647530786
2	0.8012450930021856
3	-0.7972875218932024
4	0.7964606806760743
5	-0.795946572863371
6	0.7957250940401476
7	-0.7953938980689415
8	0.7952055694078549
9	-0.7948852783709027
10	0.7946989058363866
11	-0.794379294080241
12	0.7941930620579837
13	-0.7938735168661112
14	0.7936873191700231
15	-0.7933678042394645
16	0.7931816346919364
17	-0.7928621478810336
18	0.7926760061098471
19	-0.7923565472774388
20	0.7921704332446101
21	-0.791851002365727
22	0.7916649160524113
23	-0.7913455131088086
24	0.7911594544972446
25	-0.7908400794710734
26	0.7906540485435739
27	-0.7903347014169981
28	0.7901486981558594
29	-0.7898293789109684
30	0.7896434032982507
31	-0.7893241119158371
32	0.7891381639299347
33	-0.7888189003710163
34	0.7886329799340623
35	-0.7883137438565754
36	0.7881278500283146
37	-0.7878086364594225
38	0.7876227551101906
39	-0.7873034886252549
40	0.7871174045393624
41	-0.7867969450042549
42	0.7866073889118662
43	-0.7862686473161016
44	0.7860260022873301
45	-0.7854142314501291
46	0.7843515666784071
47	-0.7795653701081396
48	0.7644505082936428
49	-0.6806842291372421

