L= 50  beta= 0.5  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 10.0
# t 	 E 	 mag 	 corr 	 err
1.55	-265.0221075940592	-0.46189882424529766	-2465518758676789e-25	4189578389523641e-34
1.555	-265.0238719398818	-0.4618629533971873	-27144402605033314e-26	3950637194570802e-34
1.56	-265.0256756284979	-0.4618995372109479	-29167679196561434e-26	39518958741334526e-35
1.565	-265.0274318377212	-0.4620086818895498	-30643924580761787e-26	41310648852744423e-35
1.57	-265.0290554303974	-0.46218731150205783	-31514841337121904e-26	40479590834532625e-35
1.575	-265.03046707768533	-0.4624292085193479	-3174713212014708e-25	40206985052648894e-35
1.58	-265.03159713017476	-0.4627252036902486	-3133367131465449e-25	41237723506221844e-35
1.585	-265.0323890476207	-0.4630635110799969	-30293603342233683e-26	3945132854243483e-34
1.59	-265.0328022181165	-0.46343019660161755	-28671371669283644e-26	40995517570846864e-35
1.595	-265.0328140258556	-0.4638097612612675	-2653472538884807e-25	42361389413337807e-35
1.6	-265.0324210623801	-0.46418581400130277	-2397179369150597e-25	39833871625670024e-35
1.605	-265.0316394167652	-0.46454180381535276	-21087353767539507e-26	4121719208251141e-34
1.61	-265.03050402469745	-0.464861777033256	-1799845145123961e-25	390351882032904e-33
1.615	-265.0290671016802	-0.46513112356055675	-14829557915444838e-26	4113490158524148e-34
1.62	-265.0273957304787	-0.4653372755563737	-11707463153510917e-26	41237808900553083e-35
1.625	-265.02556871409297	-0.4654703235957694	-8756115592645119e-26	41285746817121077e-35
1.63	-265.02367284215563	-0.4655235187443132	-6091617757653451e-26	40425333564697494e-35
1.635	-265.02179874789306	-0.46549363402850397	-3817579250762596e-26	40896938321052894e-35
1.64	-265.0200365538092	-0.4653811652826453	-2021012148663582e-26	42194016447093355e-35
1.645	-265.018471515673	-0.4651903589763441	-7689302680559349e-27	4607669926055893e-34
1.65	-265.0171798759577	-0.4649290629998165	-105784282483562e-26	5250639091387423e-34
1.655	-265.016225128629	-0.46460840508359647	-5182977302402989e-28	6043633890887786e-34
1.66	-265.0156548788468	-0.4642423121130614	-6024871526774893e-27	7084145749136643e-34
1.665	-265.0154984531074	-0.46384689162159753	-172871208694786e-25	8297296803334566e-34
1.67	-265.0157653798633	-0.46343970379220223	-3378354256138993e-26	966513118455989e-33
1.675	-265.0164448193186	-0.4630389579955085	-5478442618100688e-26	11164205320925513e-34
1.68	-265.01750597530145	-0.46266267193684063	-7938298289368872e-26	12705787240020302e-34
1.685	-265.0188994747366	-0.46232783365741503	-10653343231507703e-26	14122517020638021e-34
1.69	-265.0205596532623	-0.4620496068090445	-13509445429513793e-26	15500090821798797e-34
1.695	-265.0224076411937	-0.4618406177756875	-16387620304991784e-26	16800458920102761e-34
1.7	-265.02435510464596	-0.4617103594308914	-19168894601802663e-26	18055500722774302e-34
1.705	-265.02630846404713	-0.46166474077969266	-21739133495495085e-26	19394410214209974e-34
1.71	-265.0281733882149	-0.46170580471056055	-23993634434371103e-26	2099788983242977e-33
1.715	-265.02985934779645	-0.4618316279278395	-2584130211190421e-25	22905351388830027e-34
1.72	-265.03128400763956	-0.4620364082567249	-27208237530323437e-26	25272088036670712e-34
1.725	-265.032377244674	-0.4623107353602033	-2804059950550946e-25	28158470705493282e-34
1.73	-265.0330845947092	-0.4626420319398553	-2830662804326335e-25	31475395853057335e-34
1.735	-265.033369958394	-0.4630151441644117	-2799775440604403e-25	35190851196933995e-34
1.74	-265.03321743172944	-0.46341305279993705	-2712876082431023e-25	3937019564258392e-33
1.745	-265.0326321681176	-0.4638176706679556	-25736992025403204e-26	438184417813694e-32
1.75	-265.03164022580034	-0.46421068792597375	-2388065938277447e-25	485125179717848e-32
1.755	-265.03028740317006	-0.4645744244495982	-21636314926528553e-26	5333782292957387e-33
1.76	-265.02863711387204	-0.464892648404326	-19095605242493677e-26	5818723568233517e-33
1.765	-265.0267674001154	-0.4651513219273011	-16361443160821732e-26	6303535602346191e-33
1.77	-265.02476722519435	-0.46533923859558346	-13543757078597113e-26	6772756871696792e-33
1.775	-265.0227322214471	-0.4654485228366984	-10754993024967442e-26	7241222533298968e-33
1.78	-265.0207600974188	-0.4654749683566289	-8105552693316145e-26	7716508076893087e-33
1.785	-265.01894592514054	-0.465418200661299	-56993514444640865e-27	8240528461897223e-33
1.79	-265.0173775353662	-0.46528165742290933	-36296738103085036e-27	8846846770652985e-33
1.795	-265.0161312442715	-0.4650723893513838	-1975490637252705e-26	9587663587752291e-33
1.8	-265.0152681199759	-0.46480069292615384	-7983822792620731e-27	10497440454962346e-33
1.805	-265.0148309719336	-0.4644795943918129	-14018697525976384e-28	11597722331244136e-33
1.81	-265.0148422119347	-0.46412421142663657	-21463714170014123e-29	12909552229670813e-33
1.815	-265.01530269374257	-0.46375102451700645	-4408256616012199e-27	144303618494105e-31
1.82	-265.0161915914006	-0.4633770940483558	-13751648888590586e-27	16153049620693728e-33
1.825	-265.0174673260492	-0.46301926127577225	-27807530968200723e-27	1806235330983562e-32
1.83	-265.0190695002649	-0.4626933715811049	-4595167701928921e-26	20150239033560966e-33
1.835	-265.02092175004816	-0.46241355677280305	-6739959482711889e-26	2241803326369289e-32
1.84	-265.0229353795394	-0.46219160974825463	-912394834203484e-25	24890599039673264e-33
1.845	-265.02501360523104	-0.4620364798165259	-11647008863683292e-26	27610479807597944e-33
1.85	-265.02705620629195	-0.4619539106465317	-14204188280608898e-26	3065802483976023e-32
1.855	-265.02896435702223	-0.4619462355004401	-16689987026887395e-26	3413220383759825e-32
1.86	-265.03064540803445	-0.46201233651647455	-19002626723113935e-26	3814174229633148e-32
1.865	-265.03201738440316	-0.46214776672397045	-21048132430076248e-26	4279353727294957e-32
1.87	-265.03301298182186	-0.4623450256136855	-22744065150317757e-26	48162783803257e-30
1.875	-265.033582865663	-0.46259397183758255	-24022756391973615e-26	5430232267442772e-32
1.88	-265.0336981108212	-0.46288235032340685	-24833918372051303e-26	6120767872935181e-32
1.885	-265.03335166142097	-0.4631964060560142	-25146530117807716e-26	6880948640240632e-32
1.89	-265.0325587367375	-0.4635215532240766	-24949930125735775e-26	7697010089538144e-32
1.895	-265.0313561602781	-0.46384306650160606	-2425407903336071e-25	8546619628212496e-32
1.9	-265.02980064151086	-0.4641467609897499	-23088989566391368e-26	9403819875948371e-32
1.905	-265.02796609024716	-0.46441962875518006	-2150335446457931e-25	10239215976006919e-32
1.91	-265.02594009103467	-0.4646504028580111	-19562434847632192e-26	11027726068430995e-32
1.915	-265.0238197059993	-0.4648300240759472	-1734530034970092e-25	1175252423230372e-31
1.92	-265.0217068075808	-0.46495199095047934	-14941537264608775e-26	12413644863214766e-32
1.925	-265.0197031659545	-0.46501258000376655	-12447561013965766e-26	13031685611991717e-32
1.93	-265.0179055285336	-0.4650109296664351	-9962683778776879e-26	136470880888881e-30
1.935	-265.0164009298363	-0.4649489882664837	-7585096631318799e-26	1431745536010031e-31
1.94	-265.0152624596326	-0.464831333012132	-5407927693743407e-26	1510584140429803e-31
1.945	-265.01454569543307	-0.4646648729312527	-3515533682006989e-26	16075042393203761e-32
1.95	-265.01428597391157	-0.4644584539208402	-19801718446039043e-27	17278018271129746e-32
1.955	-265.0144966354515	-0.4642223881756778	-859183180114959e-26	18756987374293534e-32
1.96	-265.01516832922186	-0.4639679331338007	-19279654519529287e-28	20536958645291524e-32
1.965	-265.0162694149034	-0.46370674659408473	-26376842663757812e-30	22627342489214073e-32
1.97	-265.01774744418077	-0.46345034479860925	-2909983442679474e-27	25019067150228887e-32
1.975	-265.0195316526075	-0.4632095890711764	-10408896454743109e-27	2769610380196195e-31
1.98	-265.0215363434093	-0.4629942241742204	-22168720239514913e-27	3064404373850437e-31
1.985	-265.0236650011483	-0.4628124880586788	-3766622653836768e-26	33869667714097364e-32
1.99	-265.02581493755827	-0.4626708083548492	-56231716041613096e-27	37409335211731797e-32
1.995	-265.0278822455439	-0.46257359604084475	-7707711324529796e-26	4133824853298072e-31
2	-265.02976682192565	-0.46252314150484475	-9932861495697007e-26	4576137025631317e-31
2.005	-265.0313772157684	-0.4625196129693665	-1220625374717562e-25	5080481102845557e-31
2.01	-265.03263506702274	-0.46256115224115485	-1443428892489838e-25	5659500081062581e-31
2.015	-265.03347891966246	-0.46264405823741955	-16525913917300884e-26	6323994856410008e-31
2.02	-265.03386722338814	-0.46276304492920634	-18396265673339652e-26	7080656815758088e-31
2.025	-265.03378037702015	-0.4629115574011086	-19970036853754771e-26	7930084127896759e-31
2.03	-265.03322171286834	-0.4630821277653479	-21184430172245209e-26	8864993295175092e-31
2.035	-265.03221737253455	-0.4632667517418799	-21991586299350074e-26	9869325875507922e-31
2.04	-265.03081507830336	-0.4634572668216025	-2236039241583146e-25	10918739482359968e-31
2.045	-265.0290818578341	-0.46364571400783194	-22277604156872587e-26	11982550038625452e-31
2.05	-265.02710083071753	-0.46382466707347475	-21748241717530048e-26	13026774605985699e-31
2.055	-265.02496721107025	-0.4639875159269773	-2079525016362477e-25	14018335901142208e-31
2.06	-265.0227837187605	-0.46412869386784106	-19458443362398797e-26	149310740491395e-29
2.065	-265.0206556205678	-0.46424384202855545	-1779277928579164e-25	15753253451562106e-31
2.07	-265.01868564115046	-0.46432990793625695	-15866040672934695e-26	1649419166162861e-30
2.075	-265.0169689901877	-0.4643851786763984	-13756018177463798e-26	17186815826677874e-31
2.08	-265.0155887466852	-0.46440925241356246	-11547312294792063e-26	17884338611541562e-31
2.085	-265.01461182476675	-0.4644029548577488	-9327884833737113e-26	1865181631368201e-30
2.09	-265.0140857170232	-0.46436820952632507	-7185499905176547e-26	19555348435584497e-31
2.095	-265.0140361742965	-0.4643078722550523	-52041979820535e-24	20651821525484646e-31
2.1	-265.01446593540805	-0.4642255413078392	-3460944393929671e-26	2198072287732512e-30
2.105	-265.0153545697084	-0.46412535462345283	-202258574894329e-25	23558387380416326e-31
2.11	-265.01665944126415	-0.46401178525683273	-9432345628907857e-27	2537541650348583e-30
2.115	-265.01831774938745	-0.4638894450019257	-26218437996638838e-28	27399460115734815e-31
2.12	-265.0202495475483	-0.4637629046286603	-2435644076689555e-29	295862154512192e-29
2.125	-265.0223615957286	-0.4636365372635497	-1698874307874631e-27	31899420104988425e-31
2.13	-265.024551860119	-0.46351438933310285	-7532229096623132e-27	34335149707456076e-31
2.135	-265.0267144429049	-0.46340008132540755	-17244881994292393e-27	3693959522950274e-30
2.14	-265.02874470367203	-0.46329673854906805	-3040336277475395e-26	39809966700992565e-31
2.145	-265.03054432433805	-0.46320695021132485	-46438809736977227e-27	4307975009268459e-30
2.15	-265.0320260722285	-0.4631327536066189	-6467081903893338e-26	46901477200550754e-31
2.155	-265.0331180302023	-0.4630756390818449	-8433560438315355e-26	51435888436937795e-31
2.16	-265.0337670883191	-0.4630365707733172	-10461730254057413e-26	568410179119628e-29
2.165	-265.03394152740066	-0.4630160179070505	-12468114302791047e-26	6325076072005148e-30
2.17	-265.03363256845535	-0.46301399169710455	-14370713561430188e-26	707447384642764e-29
2.175	-265.03285481224	-0.4630300835174721	-16092291932379772e-26	7932074983557677e-30
2.18	-265.0316455467698	-0.4630635009820733	-1756344609993529e-25	8887676601496852e-30
2.185	-265.0300629556383	-0.4631130997490187	-18725338785057237e-26	9920257015689834e-30
2.19	-265.02818331324335	-0.46317741015753644	-19531988231059797e-26	10998281460789515e-30
2.195	-265.02609730220183	-0.46325465909403674	-1995202528442951e-25	1208181216687201e-29
2.2	-265.02390563089153	-0.46334278865557077	-19969851344571847e-26	131268991844295e-28
2.205	-265.0217141631441	-0.46343947413330705	-19586154860815748e-26	14091917064990987e-30
2.21	-265.01962879578696	-0.46354214449292197	-18817769988959052e-26	1494468445800028e-29
2.215	-265.01775033221463	-0.4636480088245095	-17696887466834365e-26	1566868520995887e-29
2.22	-265.01616960038274	-0.46375409214045027	-16269653690044726e-26	1626680068826297e-29
2.225	-265.014963051942	-0.46385728341539867	-14594218336187465e-26	16761880775083896e-30
2.23	-265.0141890560102	-0.46395439791734155	-12738312717118982e-26	17194326569972026e-30
2.235	-265.0138850674789	-0.46404225473039523	-10776459442231075e-26	17616358091257437e-30
2.24	-265.01406580740513	-0.4641177690006815	-8786928198081646e-26	18082687624116724e-30
2.245	-265.01472254404484	-0.46417805694747516	-6848561919028933e-26	18641045178856497e-30
2.25	-265.01582350976855	-0.46422055018577435	-50376019757458826e-27	19328633800577577e-30
2.255	-265.01731543395266	-0.46424311452094735	-342464011447495e-25	20175497966696617e-30
2.26	-265.01912611794313	-0.46424416721560247	-20718188492400354e-27	21209453634441332e-30
2.265	-265.02116792745346	-0.46422278589465094	-10303911485949297e-27	22458272506969947e-30
2.27	-265.02334203356935	-0.4641788018319125	-3387350334270753e-27	23949742968151142e-30
2.275	-265.0255431967299	-0.46411287040664345	-20899735856677937e-29	25712488752195047e-30
2.28	-265.0276648621117	-0.4640265120632098	-8573814148320973e-28	27779357787048363e-30
2.285	-265.02960431946866	-0.4639221181456711	-5266562593815799e-27	3019295565377116e-29
2.29	-265.0312676773163	-0.4638029174763464	-13219854333372355e-27	3301058639694964e-29
2.295	-265.0325744104208	-0.4636729014350188	-2435957954010644e-26	36304183696205416e-30
2.3	-265.0334612600626	-0.46353670747585735	-3820242665485558e-26	4015150371053332e-29
2.305	-265.0338852980593	-0.46339946337344784	-5415975025697535e-26	4461887170661228e-29
2.31	-265.03382600590317	-0.46326659688005367	-7156196725688682e-26	4974024843114892e-29
2.315	-265.0332862682278	-0.4631436177596048	-8968604129003129e-26	5549835424656305e-29
2.32	-265.03229223237224	-0.4630358811946508	-1077849305956175e-25	6181222245466573e-29
2.325	-265.03089204086456	-0.46294834320594097	-12511780289544166e-26	6853564931665028e-29
2.33	-265.02915349823706	-0.4628853198621579	-1409797972730333e-25	7547105770947175e-29
2.335	-265.0271607852348	-0.4628502625979176	-15473013861615123e-26	8239747909238711e-29
2.34	-265.02501037977186	-0.4628455618409598	-16581748374902138e-26	8910114634645524e-29
2.345	-265.0228063823288	-0.4628723903496599	-1738014968283702e-25	9539717511011259e-29
2.35	-265.0206554724341	-0.4629305961951715	-1783698096891179e-25	10114709722917901e-29
2.355	-265.01866174069335	-0.4630186532415257	-17934971380122523e-26	10628514344460504e-29
2.36	-265.0169216469176	-0.4631336743736542	-17671414671177796e-26	11084688449190211e-29
2.365	-265.01551934862977	-0.46327148972044674	-17058176893849217e-26	1149730227256853e-28
2.37	-265.0145226264743	-0.4634267888696238	-16121116796772993e-26	1188712039583909e-28
2.375	-265.01397960378733	-0.4635933227410409	-14898946435272736e-26	12275138893594435e-29
2.38	-265.0139164193614	-0.4637641575564211	-13441582076422155e-26	12677376774698762e-29
2.385	-265.0143359659463	-0.4639319703932767	-11808055830995015e-26	131042493468602e-27
2.39	-265.0152177555193	-0.46408937330960987	-10064075654311247e-26	13564802224406091e-29
2.395	-265.0165189175644	-0.46422925112117697	-8279334728691432e-26	14072819918641942e-29
2.4	-265.0181762818615	-0.46434509672614743	-6524680328296249e-26	14650728216315748e-29
2.405	-265.0201094444627	-0.46443132748542326	-48692568692540054e-27	1532895120442197e-28
2.41	-265.02222466808007	-0.46448356662499435	-3377737918368559e-26	16141445057398015e-29
2.415	-265.0244194276806	-0.46449887492636666	-21077575219909584e-27	17120234574075906e-29
2.42	-265.02658738066094	-0.46447592006472216	-11076424780036547e-27	18291760826076096e-29
2.425	-265.02862352068246	-0.4644150737520627	-414534424442764e-26	19676220895684995e-29
2.43	-265.03042926526194	-0.46431843021197694	-5297437107595761e-28	21289178948957636e-29
2.435	-265.0319172304696	-0.46418974329058127	-3400324837460535e-28	2314363448344168e-28
2.44	-265.0330154614798	-0.4640342835062692	-35481100785888955e-28	2525081389306149e-28
2.445	-265.0336709139482	-0.4638586203540518	-998944651651023e-26	2761895399682502e-28
2.45	-265.0338520178012	-0.463670339001824	-19370631755056896e-27	30250736081733685e-29
2.455	-265.03355019935725	-0.46347770394300003	-3128205634863126e-26	3314124233097051e-28
2.46	-265.03278028836775	-0.46328928501992633	-45215182102443e-24	3627855649022373e-28
2.465	-265.0315797906864	-0.4631135633488229	-605836803115903e-25	39647096832725056e-29
2.47	-265.03000706202386	-0.4629585359392106	-7674756318379318e-26	43229345331655405e-29
2.475	-265.0281384719485	-0.4628313381343685	-9303931737461395e-26	4699988192795347e-28
2.48	-265.02606469570435	-0.4627379023721061	-10879097241951926e-26	509130506567557e-27
2.485	-265.0238863141632	-0.46268267020142095	-12336100485617046e-26	5489584336481911e-28
2.49	-265.02170893521384	-0.46266837205646505	-13615999211822432e-26	5885593264205344e-28
2.495	-265.0196380734951	-0.46269588610369344	-14667398758985482e-26	6270290474672747e-28
2.5	-265.01777403655535	-0.46276418369328876	-1544846867589391e-25	6637259741824049e-28
2.505	-265.01620706552774	-0.4628703647529183	-1592855902431921e-25	6984391181846353e-28
2.51	-265.01501296559275	-0.463009782067779	-16089353735985486e-26	7314074425965412e-28
2.515	-265.01424943802414	-0.463176249020577	-15925517729240478e-26	763177580132198e-27
2.52	-265.01395329122573	-0.46336232123794685	-1544481557628805e-25	7943734103732884e-28
2.525	-265.0141386656267	-0.46355963891835	-1466770140201757e-25	8255198013674946e-28
2.53	-265.0147963581253	-0.46375931358784256	-13626401348196512e-26	857049707652943e-27
2.535	-265.0158942783431	-0.46395234079956416	-12363530310118676e-26	8895108206183194e-28
2.54	-265.01737901403646	-0.4641300189761337	-10930302838929647e-26	9238446115380316e-28
2.545	-265.01917842946733	-0.4642843542596724	-938441344115517e-25	9615475115710799e-28
2.55	-265.0212051701993	-0.46440843189899805	-7787673605222032e-26	10045933197286475e-28
2.555	-265.023360904127	-0.46449673633639094	-620350153128679e-25	1055142678274995e-27
2.56	-265.0255410927697	-0.46454540467305505	-46943655734591616e-27	11151806777383518e-28
2.565	-265.02764006139654	-0.4645524014667154	-33192836394276724e-27	11862390830628173e-28
2.57	-265.0295561219673	-0.46451760667929964	-2131478073843111e-26	12692896882926304e-28
2.575	-265.03119650063417	-0.4644428128529561	-11762788623942346e-27	1364803096055161e-27
2.58	-265.03248183093694	-0.46433163203174327	-4893575519517279e-27	14729064627775266e-28
2.585	-265.0333499951139	-0.4641893173417541	-953605491713635e-27	15935596597182762e-28
2.59	-265.03375912760464	-0.46402250827269387	-6994069109280517e-29	17266872999711764e-28
2.595	-265.0336896354509	-0.4638389123633371	-22459467003252805e-28	18722328533988185e-28
2.6	-265.0331451381759	-0.46364693900145604	-736199756383736e-26	20301281830999013e-28
2.605	-265.03215228195035	-0.46345530325817563	-15181123759192352e-27	22001947705899177e-28
2.61	-265.0307594376259	-0.4632726189838587	-25359348032567537e-27	23820093904121163e-28
2.615	-265.0290343461662	-0.4631070007380518	-3746026544772466e-26	25747666566964253e-28
2.62	-265.02706082610916	-0.4629656935021558	-50973253077821375e-27	2777145110484142e-27
2.625	-265.0249347030764	-0.46285474757034906	-6533454934120441e-26	29871565769518865e-28
2.63	-265.0227591589571	-0.46277875361946996	-7995032987737116e-26	320199287003775e-26
2.635	-265.02063972647954	-0.46274064985179864	-9422083077637982e-26	34179982589864675e-28
2.64	-265.01867917196466	-0.4627416094497012	-10756453330075262e-26	36309750021231896e-28
2.645	-265.01697251437975	-0.4627810125681202	-11944142824903454e-26	3836917160437938e-27
2.65	-265.015602422055	-0.4628565029256761	-12937442381509536e-26	403298004218763e-26
2.655	-265.0146352100749	-0.4629641249487185	-13696804742469165e-26	4218239564525933e-27
2.66	-265.01411763211195	-0.46309853357962427	-14192371435455347e-26	439380798557284e-26
2.665	-265.0140746218948	-0.4632532654697006	-14405098456457365e-26	4562231695546363e-27
2.67	-265.01450809337666	-0.4634210575006319	-14327439519401063e-26	4726620183868718e-27
2.675	-265.015396857348	-0.4635941965453117	-13963563448947115e-26	48902168746454606e-28
2.68	-265.0166976580823	-0.46376488317774467	-13329100905141328e-26	5056804787711284e-27
2.685	-265.01834727929906	-0.46392559171704173	-1245043424240765e-25	5231648005237965e-27
2.69	-265.02026561694197	-0.46406940954202625	-11363562092027975e-26	5422192962019753e-27
2.695	-265.0223595694317	-0.46419033999475123	-1011258675808457e-25	56378672810601095e-28
2.7	-265.0245275564883	-0.46428355531684673	-8747887417906325e-26	58888744817928224e-28
2.705	-265.02666444724827	-0.46434558880882754	-7324054746445326e-26	6184462212353554e-27
2.71	-265.028666658652	-0.46437445861728166	-5897671945973001e-26	6531399039184384e-27
2.715	-265.030437176823	-0.46436971906529045	-4525032512437348e-26	69332562301531726e-28
2.72	-265.0318902582093	-0.4643324390643825	-32598863324933585e-27	739071033147963e-26
2.725	-265.0329555825445	-0.4642651106949625	-21513033353538814e-27	7902685955492913e-27
2.73	-265.03358165672637	-0.46417149434172233	-1241738442248876e-26	846790027602298e-26
2.735	-265.0337383046926	-0.46405640965869877	-5653732544903085e-27	9086289141507028e-27
2.74	-265.0334181231028	-0.46392548398354827	-1467989321869029e-27	9759856953897763e-27
2.745	-265.03263683250304	-0.46378487151708747	-912430422764939e-30	10492654911441527e-27
2.75	-265.0314325074211	-0.4636409575673376	-12831319393552416e-28	11289815658944623e-27
2.755	-265.0298637230385	-0.46350006239792496	-5234635361234909e-27	1215580819704563e-26
2.76	-265.028006708693	-0.4633681587310366	-11668713883065473e-27	13092273962901849e-27
2.765	-265.02595164643094	-0.4632506157828648	-203001896970743e-25	14095938355681989e-27
2.77	-265.0237982943809	-0.4631519809382958	-3075756793153656e-26	1515716183824116e-26
2.775	-265.02165114727563	-0.463075807911491	-4259859497782738e-26	162596841715977e-25
2.78	-265.0196143688113	-0.46302453762346585	-5532856609858583e-26	17381960747982195e-27
2.785	-265.0177867415741	-0.4629994352036123	-6842061567836e-23	1850011083190995e-26
2.79	-265.01625687927447	-0.4630005836417947	-8133714801173045e-26	19591888096554584e-27
2.795	-265.01509893331956	-0.4630269318317378	-9355152790378457e-26	20640435447207374e-27
2.8	-265.0143690016399	-0.46307639219420876	-1045691497873825e-25	21636336349953803e-27
2.805	-265.01410241361975	-0.463145980872561	-1139470413542248e-25	22577104125327278e-27
2.81	-265.0143120225448	-0.4632319917520614	-12131123091924423e-26	2346477596718355e-26
2.815	-265.014987587993	-0.4633301943381478	-12637121214701083e-26	24303838993453643e-27
2.82	-265.01609627784325	-0.4634360448778967	-12893096700742998e-26	25101939127606288e-27
2.825	-265.017584265317	-0.46354490003064286	-1288961474799343e-25	25874050883114422e-27
2.83	-265.01937934330067	-0.46365222286486973	-12627716082430196e-26	26648015288306162e-27
2.835	-265.02139442905707	-0.46375377192765765	-12118805158564384e-26	2746764680190002e-26
2.84	-265.0235317892467	-0.46384576552308165	-11384123118132772e-26	28390351736456823e-27
2.845	-265.02568778026557	-0.46392501505128464	-10453827576818431e-26	294789576803284e-25
2.85	-265.0277578741195	-0.4639890231917476	-936571869046117e-25	30790450071936724e-27
2.855	-265.02964172615793	-0.4640360447457551	-8163666817864522e-26	3236582546034532e-26
2.86	-265.0312480389914	-0.46406510996920713	-689580945210357e-25	3422468667497853e-26
2.865	-265.03249898701324	-0.4640760121188323	-561259299296252e-25	3636612716027053e-26
2.87	-265.0333339871028	-0.4640692626051094	-4364738759870583e-26	38775077572732466e-27
2.875	-265.0337126328999	-0.46404601851611704	-3201213418977814e-26	4143163458202326e-26
2.88	-265.0336166505688	-0.4640079882896946	-21672825144205644e-27	44320361098657215e-27
2.885	-265.0330507815472	-0.463957321933537	-13027222709512191e-27	47436959480475234e-27
2.89	-265.03204254950765	-0.4638964924137625	-6402591074348111e-27	5079063785084901e-26
2.895	-265.0306409231238	-0.46382817466868553	-2042981438844597e-27	5440154640594788e-26
2.9	-265.0289139395878	-0.4637551281909321	-9991298823721838e-29	5829369085144011e-26
2.905	-265.0269454041768	-0.46368008831438984	-6268244850949695e-28	6248470106566887e-26
2.91	-265.0248308259288	-0.46360567031257655	-35775188713910454e-28	6697469160651938e-26
2.915	-265.02267278653676	-0.46353428924171586	-8808656062109324e-27	7173703231851521e-26
2.92	-265.02057596693345	-0.46346809722877624	-16086175772691145e-27	767138936444549e-25
2.925	-265.018642072577	-0.46340893869488675	-25095362858531844e-27	81818674034351e-24
2.93	-265.01696490347865	-0.46335832289459417	-35454112122437245e-27	8694570483278155e-26
2.935	-265.01562580775794	-0.46331741220566425	-4672881629004475e-26	9198514596802038e-26
2.94	-265.01468973906486	-0.4632870238745446	-5845219642856705e-26	9683855580806643e-26
2.945	-265.0142021088785	-0.4632676424414459	-7014232342937739e-26	1014297769216015e-25
2.95	-265.01418658611317	-0.46325943985104723	-8132204581454338e-26	10570805878368592e-26
2.955	-265.01464395064284	-0.46326230029548915	-9153804432907373e-26	10964562628361858e-26
2.96	-265.01555205621537	-0.4632758471125449	-10037877423232396e-26	11323714336440355e-26
2.965	-265.0168669044559	-0.4632994695350763	-10749062201993704e-26	11650895448825783e-26
2.97	-265.018524777962	-0.4633323477071609	-11259168034321397e-26	11953926361031317e-26
2.975	-265.0204453289462	-0.46337347508640825	-1154826231264592e-25	12248001839500707e-26
2.98	-265.02253547382963	-0.4634216780779771	-11605424565563698e-26	1255648944432649e-25
2.985	-265.0246939050304	-0.46347563342816134	-1142913385979592e-25	1290911703276772e-25
2.99	-265.0268160012481	-0.46353388448550775	-11027270803135295e-26	1333753267399249e-25
2.995	-265.02879889839073	-0.46359485786518406	-10416733647656238e-26	13869568003466733e-26
3	-265.0305464753553	-0.4636568822892948	-9622688018607696e-26	14524233424771283e-26
3.005	-265.03197401311536	-0.4637182114003513	-8677488077335062e-26	15309178796338023e-26
3.01	-265.0330123013838	-0.46377705215068643	-7619320747586837e-26	16221321032181884e-26
3.015	-265.03361099378185	-0.46383159996868917	-6490633306435003e-26	1725016195845461e-25
3.02	-265.03374104900524	-0.4638800813216716	-5336409248427618e-26	183825194079157e-24
3.025	-265.0333961396209	-0.4639208035764697	-4202359531592735e-26	1960717495112702e-25
3.03	-265.0325929602562	-0.46395221125739516	-31330973088345994e-27	20918197225079263e-26
3.035	-265.03137042014737	-0.4639729469784393	-2170364450596573e-26	22316193539997483e-26
3.04	-265.0297877591229	-0.4639819145491527	-13513773311531981e-27	23807277841622795e-26
3.045	-265.027921678306	-0.463978341086388	-7073568230909689e-27	2540002784823999e-25
3.05	-265.025862624424	-0.4639618344666766	-26230240132071447e-28	27101112860561595e-26
3.055	-265.0237104077455	-0.4639324321774248	-3206202527372206e-28	2891058258479994e-25
3.06	-265.02156936589273	-0.4638906376056352	-23737832714209233e-29	3081796464363628e-25
3.065	-265.01954330786964	-0.46383744006164634	-23545305057034862e-28	3280026000347576e-25
3.07	-265.01773048309565	-0.4637743153742804	-656488863081778e-26	34822603375979556e-26
3.075	-265.0162188194371	-0.463703204697909	-12677825348028863e-27	36841760723767373e-26
3.08	-265.0150816607407	-0.46362647020368886	-20427611896478222e-27	3881183333168391e-25
3.085	-265.01437421061075	-0.46354682753785525	-2948470579037209e-26	4069073505278723e-25
3.09	-265.0141308547035	-0.4634672562506652	-3946946173383672e-26	42445605007384234e-26
3.095	-265.01436349139254	-0.4633908907557929	-4996766083731642e-26	4405578115707193e-25
3.1	-265.0150609518326	-0.46332089568837975	-6054722183390872e-26	4551342904698158e-25
3.105	-265.0161895376368	-0.463260330707172	-707754659002443e-25	4682372096145099e-25
3.11	-265.01769465024586	-0.46321201075301377	-8023633081960625e-26	480071500018491e-24
3.115	-265.01950343322335	-0.4631783684624563	-8854694174013971e-26	491049613445411e-24
3.12	-265.02152829960744	-0.4631613257845555	-9537292969501192e-26	5018530152917083e-25
3.125	-265.0236711735474	-0.46316218182277574	-10044185957849368e-26	5134495300632191e-25
3.13	-265.0258282408089	-0.4631815235040745	-10355412691731211e-26	5270199468342335e-25
3.135	-265.0278949781522	-0.46321916486837467	-10459075224362681e-26	5437876688097902e-25
