L= 50  beta= 0.5  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 10.0
# t 	 E 	 mag 	 corr 	 err
0.315	-45.14825719686442	-0.4078916764418462	-7765260722792361e-25	3365653973086925e-34
0.32	-45.65329139168332	-0.408106959602305	-7759890276858367e-25	18611011074857968e-35
0.325	-46.208761775119804	-0.40834432230983	-7753872362628001e-25	24263989187103403e-35
0.33	-46.819405198320354	-0.40860596070991073	-7747115876059146e-25	8607630240466759e-35
0.335	-47.490339590067244	-0.40889427429719616	-7739515591471999e-25	1123676420209876e-34
0.34	-48.227080920512435	-0.4092118812209731	-7730949843397813e-25	14746678119545393e-35
0.345	-49.03555773051126	-0.4095616338736948	-7721277825890246e-25	19453433348932055e-35
0.35	-49.922122312788865	-0.4099466345090703	-771033646585947e-24	2579439109447918e-34
0.355	-50.893557469187606	-0.4103702505515703	-7697936814101744e-25	3437783585648405e-34
0.36	-51.95707759545407	-0.41083612915575657	-7683859897869953e-25	4422221438394137e-34
0.365	-53.120322666011305	-0.41134821044738334	-7667851979801017e-25	9986086904391551e-35
0.37	-54.39134351282983	-0.4119107387255321	-7649619173010994e-25	1394430139333283e-34
0.375	-55.778576624567826	-0.4125282707227289	-762882137139779e-24	195224642454061e-33
0.38	-57.290806547368994	-0.4132056798041442	-7605065472018443e-25	2740661862872792e-34
0.385	-58.93711386351989	-0.4139481547350171	-7577897892501763e-25	3858566498547022e-34
0.39	-60.726806678650355	-0.4147611913553052	-754679642648769e-24	9859791342362141e-35
0.395	-62.66933358606737	-0.41565057517289394	-7511161530021967e-25	14052150887268397e-35
0.4	-64.77417622481238	-0.4166223525239787	-7470307217917774e-25	20125076950206347e-35
0.405	-67.05071983479004	-0.4176827875597634	-7423451831511715e-25	28961582147271715e-35
0.41	-69.50810066627918	-0.4188383019154504	-7369709075311321e-25	4187876236019006e-34
0.415	-72.15502974822913	-0.4200953935238234	-7308080000821024e-25	11881416928495446e-35
0.42	-74.99959337893453	-0.42146053068256634	-7237446052452555e-25	1778936502122476e-34
0.425	-78.04903178270226	-0.4229400172204148	-7156565318529264e-25	2669922157765615e-34
0.43	-81.3094986690295	-0.4245398244915115	-7064072045458287e-25	4018482774431547e-34
0.435	-84.78580590835082	-0.42626538604085407	-6958481288644824e-25	1483494830192716e-34
0.44	-88.48115914678421	-0.42812135122257455	-6838200933415547e-25	23264005738350904e-35
0.445	-92.39689183975452	-0.4301112949291418	-6701551869587374e-25	3664555783465292e-34
0.45	-96.53220678168438	-0.4322373820279548	-6546799533033167e-25	12323531685287063e-35
0.455	-100.88393561243754	-0.4344999872256038	-6372198469410249e-25	19512351683194896e-35
0.46	-105.44632784150599	-0.4368972740000086	-617605207696866e-24	30998004076235992e-35
0.465	-110.21088149564838	-0.43942474003352244	-5956789247671973e-25	30034543835715873e-35
0.47	-115.16622742499774	-0.44207474125851853	-5713058987777342e-25	17887500861189314e-35
0.475	-120.29807848899947	-0.4448360121148963	-5443843116276111e-25	2737957167642374e-34
0.48	-125.58925322816987	-0.4476932057131441	-5148585775267254e-25	41031782027100336e-35
0.485	-131.01978121652746	-0.45062648394576604	-4827336741900632e-25	32435727167396123e-35
0.49	-136.56709416033016	-0.4536111936738633	-4480903462558919e-25	18261756363360293e-35
0.495	-142.20630311070929	-0.45661767024890854	-4111004430551263e-25	2852679032665513e-34
0.5	-147.91055810277817	-0.4596112129925688	-3720414207418955e-25	2953183782002938e-34
0.505	-153.65148237722207	-0.46255227795128373	-33130882448262345e-26	3162157719322086e-34
0.51	-159.39966935894182	-0.4653969303862497	-2894254021005448e-25	35110759651434004e-36
0.515	-165.12522703265952	-0.4680975923070212	-24704541555146853e-26	6230279030177392e-35
0.52	-170.7983515117116	-0.4706041084355992	-2049527406938454e-25	1084254147898113e-34
0.525	-176.38990963982639	-0.47286513722812856	-16405150273995077e-26	18541032352246318e-35
0.53	-181.8720095336094	-0.4748298524307497	-12534829704253663e-26	31213157647026273e-35
0.535	-187.21853813631327	-0.4764499161286607	-8992549153467277e-26	35223916916139986e-35
0.54	-192.4056461125213	-0.477681657954645	-5890568039197943e-26	3796902994374592e-34
0.545	-197.41216270477702	-0.47848836913705695	-33408024071568016e-27	2499431050681961e-34
0.55	-202.2199263690494	-0.47884259678782903	-14497920485131464e-27	3927161082222208e-34
0.555	-206.81402092355327	-0.4787283057581908	-31321453034236184e-28	20087496364374796e-35
0.56	-211.1829113551789	-0.47814276485144125	-10221466489521424e-29	2993194549238794e-34
0.565	-215.3184780664239	-0.47709801306416244	-59791967185110726e-28	3223679536762877e-34
0.57	-219.21595293302423	-0.4756217710304914	-21063478887988318e-27	32867419954905917e-35
