# beta_th 	 E_final 	 E_thermal 	 beta_final 	 sx_final 
0.01	-0.6561412447728197	-0.6561479798256529	0.00997	0.005233844959256622
0.1	-6.4545714912266625	-6.454834262493758	0.099695	0.05194145308403759
0.3	-18.245498423181022	-18.245846039000032	0.29896500000000004	0.14699407705435008
0.5	-27.870901440572215	-27.871645355495225	0.497925	0.2206657923359518
1	-42.23919749789038	-42.23984338383806	0.9921	0.3075518797482362
2	-50.39452766246492	-50.394544813412026	1.9425	0.31066426577513245
4	-52.31929836743559	-52.319364636511494	3.3638	0.2877244243109719
8	-52.51924523901352	-52.51931931486286	4.0356	0.28306511534467105
