L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t      E   mag_x   max_z   corr    err     entropy
0.45    -63.30607774048003  -0.646318644416096  -0.0037918293522548243  -0.17560600175618776    22258716854002107e-36   0.5252436869271631
0.475   -63.30681987872478  -0.6462511608609354 -0.004663643176946489   -0.17559560744395006    24399946598849537e-37   0.5251977941690165
0.5 -63.307110535567205 -0.6461781355579378 -0.0056410991087957 -0.1755818187980814 24597930573501793e-37   0.5251445035713356
0.525   -63.30668906887495  -0.6461041393186054 -0.006714562638340213   -0.17556393940548154    25041535783689593e-37   0.5250846425872666
0.55    -63.305311096836746 -0.6460347578942509 -0.0078693412249118 -0.1755413893310723 26371271187082206e-37   0.5250190878779999
0.575   -63.30279351282185  -0.6459759326225814 -0.009086039482309198   -0.17551379957982993    22657385672943076e-36   0.5249487333687838
0.6 -63.29905470539145  -0.6459331707539356 -0.010341239965085017   -0.17548109973588322    43307040442009775e-37   0.5248744599439552
0.625   -63.29413976788654  -0.6459107819272456 -0.011608447369216441   -0.17544358415296632    26466713119291985e-36   0.5247971103331642
0.65    -63.288223621115975 -0.6459112933371014 -0.012859208007752998   -0.17540194436307022    896392230904975e-35 0.5247174723398784
0.675   -63.28159043220272  -0.6459351505627703 -0.014064303818118155   -0.1753572602979775 12705142616048153e-36   0.5246362725462835
0.7 -63.27459373269273  -0.6459807400055093 -0.015194921783054208   -0.1753109493757793 13014023530737434e-36   0.5245541811822583
0.725   -63.26760626896694  -0.6460446958497876 -0.016223713764869235   -0.17526467895391856    10394479005281331e-36   0.5244718272570736
0.75    -63.26097048143021  -0.6461224006914327 -0.017125684648716243   -0.17522025271705235    9774617716538607e-36    0.5243898216240419
0.775   -63.254959280296895 -0.6462085662619035 -0.01787887365133408    -0.17517948432692954    10249385413492605e-36   0.5243087846250281
0.8 -63.2497531975085   -0.6462977889952334 -0.018464820014713026   -0.17514407192303139    1118768870233398e-35    0.5242293744722683
