L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1
# t 	 E 	 mag 	 corr 	 err 	 entropy
0.285	-63.30097986322383	-0.6465463326598044	-0.1756348508092324	18531185167391e-34	0.5253193675166961
0.29	-63.30097366259678	-0.6465461938593989	-0.17563441484731743	18587549330908636e-37	0.5253233246256336
0.295	-63.30096743292868	-0.6465460548065814	-0.1756339867487629	2158206787944074e-35	0.5253268864066438
0.3	-63.30096117770328	-0.6465459155901288	-0.1756335666495446	19133227702260454e-37	0.5253300511418859
0.305	-63.30095490041499	-0.6465457762985494	-0.1756331546853344	19213513956912033e-37	0.5253328173366886
0.31	-63.300948604569385	-0.646545637020042	-0.1756327509914682	19300311490732186e-37	0.5253351837202116
0.315	-63.300942293679704	-0.6465454978424334	-0.17563235570290314	19392594617411315e-37	0.5253371492460507
0.32	-63.30093597126617	-0.6465453588531125	-0.17563196895417835	19489063017575488e-37	0.5253387130926576
0.325	-63.300929640850235	-0.646545220138936	-0.17563159087939886	21701160701706123e-36	0.5253398746637
0.33	-63.30092330595914	-0.6465450817862205	-0.1756312216120819	2035343671103943e-36	0.5253406335881996
0.335	-63.30091697011747	-0.6465449438806311	-0.1756308612852888	21742457363888325e-36	0.5253409897206525
0.34	-63.30091063684846	-0.6465448065071543	-0.17563051003143257	21879920376438436e-36	0.5253409431409202
0.345	-63.30090430967138	-0.6465446697500052	-0.17563016798230985	21973549214684534e-37	0.5253404941540663
0.35	-63.30089799209906	-0.6465445336925909	-0.17562983526901446	22061473386465457e-37	0.5253396432900249
0.355	-63.30089168763606	-0.6465443984174607	-0.1756295120219009	22139333286620785e-37	0.5253383913031588
0.36	-63.300885399776845	-0.6465442640062101	-0.1756291983705304	22205094594633484e-37	0.525336739171679
0.365	-63.300879132005036	-0.6465441305394763	-0.17562889444361973	22257037096322744e-37	0.525334688096949
0.37	-63.30087288778806	-0.6465439980968364	-0.17562860036898206	22293856764178276e-37	0.5253322395026607
0.375	-63.30086667057676	-0.6465438667567668	-0.17562831627347217	22314746015020803e-37	0.5253293950338928
0.38	-63.30086048380653	-0.6465437365966238	-0.1756280422829073	2201565807728584e-35	0.5253261565559953
0.385	-63.3008543308905	-0.6465436076925515	-0.17562777852212735	22696090084501338e-37	0.5253225261534226
0.39	-63.30084821521892	-0.6465434801194349	-0.1756275251147453	22670986741066206e-37	0.525318506128414
0.395	-63.30084214016068	-0.6465433539508868	-0.17562728218322368	2263206342464058e-36	0.5253140989995
0.4	-63.30083610905627	-0.6465432292591626	-0.17562704984876873	22000511976324544e-36	0.5253093074999772
0.405	-63.30083012521913	-0.6465431061151278	-0.17562682823127787	2337201782190629e-36	0.5253041345761924
0.41	-63.30082419193311	-0.6465429845882327	-0.17562661744928723	2208695110671883e-35	0.5252985833857349
0.415	-63.3008183124507	-0.6465428647464406	-0.17562641761984987	2394908294801884e-36	0.5252926572955021
0.42	-63.300812489989674	-0.646542746656204	-0.1756262288585642	23865998157224878e-37	0.5252863598796541
0.425	-63.30080672773321	-0.6465426303824179	-0.17562605127943579	2377965900242128e-36	0.5252796949174485
0.43	-63.30080102882694	-0.6465425159883909	-0.17562588499483991	23691457013389418e-37	0.5252726663909465
0.435	-63.30079539637857	-0.6465424035358047	-0.17562573011544622	23602552556984125e-37	0.5252652784826184
0.44	-63.300789833453905	-0.6465422930846805	-0.17562558675015383	23513882600786275e-37	0.5252575355728406
0.445	-63.30078434307712	-0.6465421846933426	-0.1756254550060192	22255019580039867e-36	0.5252494422372695
0.45	-63.30077892822733	-0.6465420784183897	-0.17562533498817479	2219718767216142e-35	0.5252410032441063
0.455	-63.30077359183924	-0.646541974314679	-0.17562522679980974	23392824147231612e-37	0.5252322235512494
0.46	-63.30076833679849	-0.6465418724352674	-0.17562513054202145	23302968738141036e-37	0.5252231083033672
0.465	-63.3007631659429	-0.6465417728314194	-0.17562504631380163	2321560593761617e-36	0.5252136628288209
0.47	-63.30075808205919	-0.6465416755525721	-0.17562497421879306	2209588555734218e-35	0.5252038926365165
0.475	-63.30075308788121	-0.6465415806462872	-0.17562491433750108	23091544720952657e-37	0.525193803412655
0.48	-63.30074818609038	-0.6465414881582868	-0.17562486676926697	23015067288298565e-37	0.525183401017351
0.485	-63.3007433793108	-0.6465413981323656	-0.17562483160385395	22942414529025207e-37	0.5251726914812045
0.49	-63.30073867011184	-0.6465413106104351	-0.17562480892854038	2287395861943084e-36	0.5251616810017168
0.495	-63.30073406100451	-0.6465412256324751	-0.1756247988280455	2281014391478541e-36	0.5251503759396537
0.5	-66.62896933517196	-0.6465496230837023	-0.1756228670871852	22758908011949144e-37	0.5251370349072001
0.505	-66.62896402096136	-0.6465749950712184	-0.17561708110738122	219744273596107e-34	0.5251164223007524
0.51	-66.62895884514188	-0.6466173236204289	-0.17560744353655738	23078368275513745e-37	0.5250885507018206
0.515	-66.62895381108082	-0.6466765787611013	-0.1755939587255589	2323794072256185e-36	0.5250534372273502
0.52	-66.62894892204838	-0.6467527185575583	-0.17557663272379492	234633632664379e-35	0.5250111035221244
0.525	-66.62894418121715	-0.6468456891509795	-0.17555547327329699	2375677558994172e-36	0.5249615757486834
0.53	-66.62893959166232	-0.646955424813694	-0.1755304898014472	2188318443710131e-35	0.5249048845747895
0.535	-66.62893515635696	-0.6470818480153683	-0.17550169341035088	2474761270722928e-36	0.5248410651584297
0.54	-66.62893087817386	-0.6472248695011268	-0.17546909686798756	25284384351771827e-37	0.5247701571303262
0.545	-66.6289267598798	-0.6473843883813327	-0.17543271459431722	25927905155069763e-37	0.5246922045739477
0.55	-66.62892280413908	-0.647560292233185	-0.17539256264750624	2670111712533319e-36	0.5246072560029624
0.555	-66.62891901350923	-0.6477524572136845	-0.17534865870821217	2763698901966461e-36	0.5245153643361837
0.56	-66.62891539043945	-0.6479607481841341	-0.1753010220624702	41181733059017714e-36	0.5244165868699389
0.565	-66.62891193727263	-0.648185018845869	-0.17524967358228669	22866730259107753e-36	0.5243109852477799
0.57	-66.62890865623955	-0.648425111887053	-0.17519463570627147	2296139586520636e-35	0.5241986254276566
0.575	-66.62890554946162	-0.6486808591404546	-0.175135932416898	22773201290816028e-36	0.5240795776463356
0.58	-66.62890261894948	-0.6489520817519728	-0.17507358921796176	23479873511345507e-36	0.5239539163811624
0.585	-66.62889986659917	-0.6492385903596418	-0.17500763310942324	2388193149509745e-35	0.5238217203091038
0.59	-66.62889729419607	-0.6495401852830942	-0.17493809256148282	24388069811681615e-36	0.523683072262935
0.595	-66.62889490340973	-0.6498566567230237	-0.17486499748697745	23356405561941983e-36	0.5235380591847035
0.6	-66.62889269579449	-0.6501877849705986	-0.17478837921313659	696741477630199e-35	0.523386772076245
0.605	-66.62889067279195	-0.6505333406265297	-0.17470827045073845	2792368024356678e-35	0.5232293059467987
0.61	-66.62888883572597	-0.6508930848294555	-0.17462470526333626	10409776600112262e-36	0.5230657597576827
0.615	-66.62888718580234	-0.6512667694934997	-0.1745377190346371	13031591381350072e-36	0.522896236363927
0.62	-66.62888572411545	-0.6516541375547072	-0.1744473484348649	16461226287173543e-36	0.5227208424527693
0.625	-66.6288844516361	-0.6520549232258764	-0.1743536313859792	20708686325347946e-36	0.5225396884791489
0.63	-66.62888336922244	-0.6524688522598685	-0.17425660702589268	25518992945343148e-36	0.5223528885978425
0.635	-66.62888247761273	-0.652895642220686	-0.17415631567163453	3023126327769043e-35	0.5221605605924484
0.64	-66.62888177742843	-0.653335002762291	-0.1740527987815402	3379000741595565e-35	0.5219628258010177
0.645	-66.6288812691736	-0.6537866359146964	-0.1739460989188333	1869038221099139e-35	0.5217598090382863
0.65	-66.62888095323211	-0.6542502363770253	-0.1738362597044181	17525367017004316e-36	0.5215516385144889
0.655	-66.6288808298725	-0.6547254918172776	-0.17372332578392394	15209748416101455e-36	0.5213384457506326
0.66	-66.62888089924488	-0.6552120831783195	-0.173607342783977	12381561661615244e-36	0.5211203654902191
0.665	-66.62888116138132	-0.6557096849898447	-0.1734883572702848	9767530759276473e-36	0.5208975356073705
0.67	-66.62888161619811	-0.6562179656859438	-0.1733664167050428	7697313170800507e-36	0.5206700970112267
0.675	-66.62888226349234	-0.6567365879278197	-0.17324156940367066	6170982811167802e-36	0.5204381935466758
0.68	-66.62888310294575	-0.6572652089314506	-0.1731138644909903	510006543053295e-35	0.5202019718912725
0.685	-66.62888413412495	-0.657803480799642	-0.17298335185689964	4390204201767399e-36	0.5199615814483842
0.69	-66.62888535647923	-0.6583510508581856	-0.17285008211159675	3952394544301622e-36	0.5197171742365416
0.695	-66.62888676934415	-0.6589075619957515	-0.17271410654041242	37061848679289174e-37	0.5194689047748928
0.7	-66.62888837193825	-0.6594726530070454	-0.1725754770582804	3583050736235836e-36	0.519216929964888
0.705	-66.6288901633692	-0.6600459589389681	-0.17243424616394953	3528828203035673e-36	0.518961408968057
0.71	-66.62889214263065	-0.6606271114392394	-0.17229046689394178	350492446500005e-35	0.5187025030800428
0.715	-66.62889430860297	-0.6612157391071644	-0.17214419277632606	3488770652259605e-36	0.5184403756008584
0.72	-66.62889666005675	-0.6618114678461785	-0.17199547778439114	3474100341376443e-36	0.5181751917013666
0.725	-66.62889919565048	-0.6624139212176905	-0.17184437629021843	3471501046467175e-36	0.5179071182861955
0.73	-66.62890191393329	-0.6630227207958834	-0.1716909430182588	3509439686919229e-36	0.5176363238530315
0.735	-66.62890481334684	-0.6636374865230774	-0.1715352329989493	3635578603059481e-36	0.5173629783484606
0.74	-66.62890789222438	-0.6642578370651873	-0.1713773015223965	39176085248805055e-37	0.517087253020498
0.745	-66.62891114879244	-0.6648833901669472	-0.17121720409222277	4442217233272416e-36	0.5168093202679052
0.75	-66.62891458117399	-0.6655137630065228	-0.1710549963796001	5310670684979088e-36	0.5165293534864346
0.755	-66.62891818738579	-0.6661485725489911	-0.17089073417751774	6627807098144385e-36	0.5162475269122724
0.76	-66.6289219653437	-0.6667874358984685	-0.1707244733553593	8470188695422004e-36	0.5159640154627242
0.765	-66.62892591286126	-0.6674299706483587	-0.17055626981381922	10805571469735789e-36	0.515678994574497
0.77	-66.6289300276518	-0.6680757952293852	-0.17038617944022194	13379898646950665e-36	0.515392640039698
0.775	-66.62893430733152	-0.668724529255069	-0.1702142580642921	1574283420907443e-35	0.5151051278398652
0.78	-66.62893874941851	-0.6693757938641893	-0.17004056141439625	17641496956442493e-36	0.5148166339782174
0.785	-66.62894335133488	-0.6700292120598806	-0.16986514507430256	19349847970151045e-36	0.5145273343104824
0.79	-66.62894811040921	-0.6706844090450951	-0.16968806444049686	21074019399866425e-36	0.5142374043744791
0.795	-66.62895302387801	-0.671341012553903	-0.16950937468013155	22545674510515522e-36	0.5139470192188674
0.8	-66.62895808888723	-0.6719986531783946	-0.16932913068965252	2363392519375002e-35	0.5136563532312917
0.805	-66.62896330249262	-0.6726569646907691	-0.16914738705412957	24506162170484124e-36	0.5133655799662851
0.81	-66.62896866166379	-0.6733155843603496	-0.16896419800733734	25272441410717104e-36	0.5130748719732199
0.815	-66.62897416328423	-0.6739741532650867	-0.16877961739258213	25931259515493195e-36	0.5127844006247042
0.82	-66.6289798041547	-0.6746323165972874	-0.16859369862436682	26492504863039768e-36	0.5124943359456788
0.825	-66.62898558099226	-0.6752897239631973	-0.16840649465088964	2702203483049423e-35	0.5122048464436689
0.83	-66.62899149043689	-0.6759460296762613	-0.16821805791743852	2761129941772715e-35	0.5119160989403846
0.835	-66.62899752904701	-0.6766008930434984	-0.16802844033067715	2833225392130226e-35	0.5116282584052024
0.84	-66.62900369330858	-0.6772539786450367	-0.1678376932239115	2920911145322679e-35	0.5113414877906534
0.845	-66.62900997963116	-0.6779049566061932	-0.16764586732329093	3021284808152027e-35	0.5110559478704625
0.85	-66.6290163843543	-0.6785535028620746	-0.16745301271505245	31272096571376394e-36	0.5107717970803013
0.855	-66.62902290374579	-0.6791992994142805	-0.1672591788137497	3229146586829822e-35	0.5104891913616831
0.86	-66.62902953400693	-0.6798420345795583	-0.1670644143315713	3317072063780449e-35	0.5102082840092305
0.865	-66.62903627127314	-0.6804814032300976	-0.16686876724871363	33821626154847367e-36	0.5099292255216887
0.87	-66.62904311161623	-0.6811171070252464	-0.16667228478485321	34181449181671746e-36	0.5096521634569056
0.875	-66.62905005104717	-0.6817488546344618	-0.16647501337174106	34222672634265625e-36	0.5093772422910908
0.88	-66.62905708551739	-0.6823763619512636	-0.16627699862692424	3395793311376389e-35	0.5091046032826042
0.885	-66.62906421092165	-0.68299935229798	-0.16607828532862015	33438540791089576e-36	0.5088343843405093
0.89	-66.62907142310256	-0.6836175566211571	-0.16587891739176738	32745428363663503e-36	0.5085667198980931
0.895	-66.62907871784643	-0.6842307136772993	-0.16567893784522283	319736612999761e-34	0.5083017407916852
0.9	-66.6290860908934	-0.6848385702090981	-0.1654783888101936	3121474866383901e-35	0.508039574144758
0.905	-66.62909353793383	-0.6854408811116003	-0.16527731147983354	3054246364770413e-35	0.5077803432577341
0.91	-66.62910105461556	-0.6860374095885343	-0.16507574610007372	3000607617554549e-35	0.5075241675034425
0.915	-66.62910863654103	-0.6866279272983962	-0.16487373195164914	2963103893902847e-35	0.5072711622285945
0.92	-66.62911627927437	-0.687212214490429	-0.16467130733336197	2942417232286751e-35	0.5070214386611611
0.925	-66.62912397834093	-0.6877900601301767	-0.16446850954656853	2937989377876979e-35	0.5067751038240438
0.93	-66.62913172923203	-0.6883612620147098	-0.1642653748808868	2948536207140749e-35	0.5065322604549011
0.935	-66.62913952740533	-0.6889256268773148	-0.16406193860114096	2972397155956139e-35	0.5062930069323988
0.94	-66.62914736828729	-0.6894829704816704	-0.1638582349355271	30077525698149516e-36	0.506057437208853
0.945	-66.62915524727877	-0.6900331177054722	-0.16365429706502024	30527597588694406e-36	0.505825640749369
0.95	-66.62916315975349	-0.6905759026134035	-0.16345015711398184	31056420184918993e-36	0.5055977024775181
0.955	-66.62917110106251	-0.6911111685194928	-0.16324584614200852	316474578273385e-34	0.5053737027276127
0.96	-66.62917906653836	-0.6916387680388585	-0.16304139413698848	32285731406720263e-36	0.5051537172035233
0.965	-66.62918705149426	-0.6921585631287852	-0.1628368300093478	3295797392912613e-35	0.5049378169441435
0.97	-66.62919505122886	-0.6926704251192373	-0.16263218158751305	3365271212099821e-35	0.5047260682954424
0.975	-66.62920306102855	-0.6931742347327765	-0.1624274756145556	3436035165849822e-35	0.5045185328890742
